"Source:","C:\Users\Vadim\Projects\Horace\sensor\sensor.kicad_sch"
"Date:","24.11.2022 15:50:27"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","44"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Digikey Part Number","Height","Manufacturer","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Mouser part number","Mouser parts/stock","Price"
"","","IC2","LP5900TLX-2.7_NOPB","Horace:LP5900TLX-2.7_NOPB","Horace:BGA4C50P2X2_105X108X68","http://www.ti.com/lit/gpn/LP5900","","","150mA Ultralow-Noise LDO for RF and Analog Circuits Requires No Bypass Capacitor","","0.675","","","Texas Instruments","LP5900TLX-2.7/NOPB","926-LP5900TLX27NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LP5900TLX-27-NOPB?qs=8uBHJDVwVqwI%252Br0sr7pGhg%3D%3D","","",""
"","","IC3","MAX86141ENP+T","sensor-rescue:MAX86141ENP+-Horace","Horace:BGA20C40P5X4_205X185X50","https://www.mouser.ee/datasheet/2/256/MAX86140-1139682.pdf","","","MAXIM INTEGRATED PRODUCTS - MAX86141ENP+ - PULSE OXIMETER/HEART RATE SENSOR, WLP-20","MAX86141ENP+TCT-ND","0.5","Maxim Integrated","MAX86141ENP+T","Maxim Integrated","MAX86141ENP+","700-MAX86141ENP+T","https://www.mouser.ee/ProductDetail/Maxim-Integrated/MAX86141ENP%2bT?qs=1mbolxNpo8eXAkUx4%252BsdhQ%3D%3D","","","6.25"
"","","IC4","SIT1532AC","Horace:SIT1532AC-J5-DCC-32.768D","Horace:SIT1532ACJ5DCC32768D","https://www.sitime.com/datasheet/SiT1532","SIT1532AC-J5-DCC-32.768D","https://www.arrow.com/en/products/sit1532acj5dcc32.768d/sitime?region=nac","Oscillator MEMS 0.032768MHz +/-75ppm (Stability) LVCMOS 52% 1.8V/2.5V/3.3V 4-Pin CSP SMD T/R","","0.6","","","SiTime","SIT1532AC-J5-DCC-32.768D","788-1532ACJ5DCC32.7D","https://www.mouser.co.uk/ProductDetail/SiTime/SIT1532AC-J5-DCC-32768D?qs=dMZC7um9hO%2FgFQ4wFMXsCg%3D%3D","","",""
"","","IC5","LP5900TLX-1.8_NOPB","Horace:LP5900TLX-2.7_NOPB","Horace:BGA4C50P2X2_105X108X68","http://www.ti.com/lit/gpn/LP5900","","","150mA Ultralow-Noise LDO for RF and Analog Circuits Requires No Bypass Capacitor","","0.675","","","Texas Instruments","LP5900TLX-2.7/NOPB","926-LP5900TLX27NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LP5900TLX-27-NOPB?qs=8uBHJDVwVqwI%252Br0sr7pGhg%3D%3D","","",""
"","","J1","Conn_01x10_Female","Connector:Conn_01x10_Female","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","https://www.mouser.ee/datasheet/2/276/3/0901471110_PCB_RECEPTACLES-2871466.pdf","","","","","","Molex","90147-1110","","","","","538-90147-1110","https://www.mouser.ee/ProductDetail/Molex/90147-1110",""
"","","J2","Conn_01x10_Female","Connector:Conn_01x10_Female","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","https://www.mouser.ee/datasheet/2/276/3/0901471110_PCB_RECEPTACLES-2871466.pdf","","","","","","Molex","90147-1110","","","","","538-90147-1110","https://www.mouser.ee/ProductDetail/Molex/90147-1110",""
"","","J3","Probe_01_male","sensor-rescue:Probe_01_male-Horace","Horace:Probe_01_male","https://www.mouser.ee/datasheet/2/273/223.7-1519985.pdf","","","","ED10387-ND","","","3977-1-00-15-00-00-03-0","","","","https://www.digikey.ee/products/en?keywords=3975-0-00-15-00-00-03-0","","","0.3"
"","","J4","Probe_01_male","sensor-rescue:Probe_01_male-Horace","Horace:Probe_01_male","https://www.mouser.ee/datasheet/2/273/223.7-1519985.pdf","","","","ED10387-ND","","","3977-1-00-15-00-00-03-0","","","","https://www.digikey.ee/products/en?keywords=3975-0-00-15-00-00-03-0","","","0.3"
"","","J5","Probe_01_male","sensor-rescue:Probe_01_male-Horace","Horace:Probe_01_male","https://www.mouser.ee/datasheet/2/273/223.7-1519985.pdf","","","","ED10387-ND","","","3977-1-00-15-00-00-03-0","","","","https://www.digikey.ee/products/en?keywords=3975-0-00-15-00-00-03-0","","","0.3"
"","","J6","Probe_01_male","sensor-rescue:Probe_01_male-Horace","Horace:Probe_01_male","https://www.mouser.ee/datasheet/2/273/223.7-1519985.pdf","","","","ED10387-ND","","","3977-1-00-15-00-00-03-0","","","","https://www.digikey.ee/products/en?keywords=3975-0-00-15-00-00-03-0","","","0.3"
