Reference, Value, Footprint, Datasheet, Description, Digikey Part Number, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Price, Arrow Part Number, Arrow Price/Stock
"U1","MAX9062EBS+TG45","Horace:MAX9062EBS&plus_TG45","https://www.mouser.ee/datasheet/2/256/MAX9060_MAX9064-1292346.pdf","","MAX9062EBS+TG45-ND","","","","","https://www.mouser.ee/ProductDetail/Maxim-Integrated/MAX9062EBS%2bTG45/?qs=%2Fha2pyFadugqr%2FcRTUDuaPS5%2FIptdcYE%252BYHI0zeIk2z8mi%252BosEJdWA%3D%3D","1.13","",""
"R1","10","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcwce3-1762584.pdf","","541-3964-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW040210R0FKEDC/?qs=sGAEpiMZZMvdGkrng054t8r8AhKhXLMmvCarM5gglglXq3JwJBwTvQ%3D%3D","0.09","",""
"R2","5k1","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcwce3-1762584.pdf","","541-4069-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW04025K10FKEDC/?qs=sGAEpiMZZMvdGkrng054t8r8AhKhXLMmF0D6YRzgBDw9jhjiqDLpgg%3D%3D","0.09","",""
"R5","499R","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcwce3-1762584.pdf","","541-4007-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW0402499RFKEDC/?qs=sGAEpiMZZMvdGkrng054t8r8AhKhXLMmrAc5VRzI1QpdgRrRnQ7yZg%3D%3D","0.09","",""
"R4","4k7","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcwce3-1762584.pdf","","541-3963-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW04024K70FKEDC/?qs=sGAEpiMZZMvdGkrng054t8r8AhKhXLMmn1PGLys91tTNfWy%2FdbRFkg%3D%3D","0.09","",""
"C1","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"C2","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"C3","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"C4","100n","Capacitor_SMD:C_0402_1005Metric","https://www.mouser.ee/datasheet/2/447/UPY_GPHC_X5R_4V_to_50V_25-1131599.pdf","","311-3340-2-ND","","","","","https://www.mouser.ee/ProductDetail/Yageo/CC0402KRX5R5BB104/?qs=T%2F3nPWKqOSbG4z8ii3LyCg%3D%3D","0.09","",""
"R3","5k1","Resistor_SMD:R_0402_1005Metric","https://www.mouser.ee/datasheet/2/427/crcwce3-1762584.pdf","","541-4069-2-ND","","","","","https://www.mouser.ee/ProductDetail/Vishay-Dale/CRCW04025K10FKEDC/?qs=sGAEpiMZZMvdGkrng054t8r8AhKhXLMmF0D6YRzgBDw9jhjiqDLpgg%3D%3D","0.09","",""
